"Año","Mes","Región","Inflación mensual general"
"2005","2005/10/01 00:00:00","COSTA ","0,00345885"
"2005","2005/10/01 00:00:00","CUENCA","0,00175623"
"2005","2005/10/01 00:00:00","ESMERALDAS","0,00138186"
"2005","2005/10/01 00:00:00","GUAYAQUIL ","0,00318971"
"2005","2005/10/01 00:00:00","LOJA","0,00306053"
"2005","2005/10/01 00:00:00","MACHALA ","0,00070091"
"2005","2005/10/01 00:00:00","MANTA ","0,00704457"
"2005","2005/10/01 00:00:00","NACIONAL","0,00349942"
"2005","2005/10/01 00:00:00","QUITO ","0,00324372"
"2005","2005/10/01 00:00:00","SIERRA","0,00353368"
"2005","2005/11/01 00:00:00","AMBATO","0,00078211"
"2005","2005/11/01 00:00:00","COSTA ","0,00265062"
"2005","2005/11/01 00:00:00","CUENCA","0,00452927"
"2005","2005/11/01 00:00:00","ESMERALDAS","0,0131838"
"2005","2005/11/01 00:00:00","GUAYAQUIL ","0,00023756"
"2005","2005/11/01 00:00:00","LOJA","0,00606464"
"2005","2005/11/01 00:00:00","MACHALA ","0,00055028"
"2005","2005/11/01 00:00:00","MANTA ","-0,00039803"
"2005","2005/11/01 00:00:00","NACIONAL","0,0016816"
"2005","2005/11/01 00:00:00","QUITO ","-0,00144845"
"2005","2005/11/01 00:00:00","SIERRA","0,00086337"
"2005","2005/12/01 00:00:00","AMBATO","0,00609965"
"2005","2005/12/01 00:00:00","COSTA ","0,0034162"
"2005","2005/12/01 00:00:00","CUENCA","0,00195317"
"2005","2005/12/01 00:00:00","ESMERALDAS","0,00571143"
"2005","2005/12/01 00:00:00","GUAYAQUIL ","0,00303001"
"2005","2005/12/01 00:00:00","LOJA","0,00296513"
"2005","2005/12/01 00:00:00","MACHALA ","0,00139235"
"2005","2005/12/01 00:00:00","MANTA ","0,00277295"
"2005","2005/12/01 00:00:00","NACIONAL","0,00298181"
"2005","2005/12/01 00:00:00","QUITO ","0,00144647"
"2005","2005/12/01 00:00:00","SIERRA","0,00261436"
"2006","2006/01/01 00:00:00","AMBATO","0,00498928"
"2006","2006/01/01 00:00:00","COSTA ","0,00710364"
"2006","2006/01/01 00:00:00","CUENCA","0,00578492"
"2006","2006/01/01 00:00:00","ESMERALDAS","0,00727808"
"2006","2006/01/01 00:00:00","GUAYAQUIL ","0,00577929"
"2006","2006/01/01 00:00:00","LOJA","0,00441559"
"2006","2006/01/01 00:00:00","MACHALA ","0,00497619"
"2006","2006/01/01 00:00:00","MANTA ","0,01121835"
"2006","2006/01/01 00:00:00","NACIONAL","0,00478115"
"2006","2006/01/01 00:00:00","QUITO ","0,00105564"
"2006","2006/01/01 00:00:00","SIERRA","0,00281499"
"2006","2006/02/01 00:00:00","AMBATO","0,0059523"
"2006","2006/02/01 00:00:00","COSTA ","0,00606707"
"2006","2006/02/01 00:00:00","CUENCA","0,00384285"
"2006","2006/02/01 00:00:00","ESMERALDAS","0,01031698"
"2006","2006/02/01 00:00:00","GUAYAQUIL ","0,0039817"
"2006","2006/02/01 00:00:00","LOJA","0,00321619"
"2006","2006/02/01 00:00:00","MACHALA ","0,00629688"
"2006","2006/02/01 00:00:00","MANTA ","0,00755329"
"2006","2006/02/01 00:00:00","NACIONAL","0,00707807"
"2006","2006/02/01 00:00:00","QUITO ","0,0108812"
"2006","2006/02/01 00:00:00","SIERRA","0,00793763"
"2006","2006/03/01 00:00:00","AMBATO","0,00064874"
"2006","2006/03/01 00:00:00","COSTA ","0,00775077"
"2006","2006/03/01 00:00:00","CUENCA","0,00581944"
"2006","2006/03/01 00:00:00","ESMERALDAS","0,00574252"
"2006","2006/03/01 00:00:00","GUAYAQUIL ","0,00870607"
"2006","2006/03/01 00:00:00","LOJA","0,01002953"
"2006","2006/03/01 00:00:00","MACHALA ","0,01032623"
"2006","2006/03/01 00:00:00","MANTA ","0,00639958"
"2006","2006/03/01 00:00:00","NACIONAL","0,00651606"
"2006","2006/03/01 00:00:00","QUITO ","0,0054933"
"2006","2006/03/01 00:00:00","SIERRA","0,00546826"
