date;fosfato_diamónico;muriato_de_potasio;urea
2022-10-01; 64.61 ; 60.16 ; 50.22 
2022-11-01; 65.51 ; 59.81 ; 50.93 
2022-12-01; 64.67 ; 59.87 ; 49.85 
2023-01-01; 59.93 ; 59.07 ; 48.26 
2023-02-01; 58.73 ; 58.52 ; 46.66 
2023-03-01; 58.79 ; 57.90 ; 46.13 
2023-04-01; 57.89 ; 57.05 ; 44.31 
2023-05-01; 53.93 ; 47.34 ; 42.11 
2023-06-01; 51.93 ; 42.55 ; 38.71 
2023-07-01; 49.80 ; 39.98 ; 34.79 
2023-08-01; 47.32 ; 37.02 ; 32.60 
2023-09-01; 46.28 ; 37.30 ; 32.59 
2023-10-01; 47.66 ; 36.73 ; 33.15 
2023-11-01; 47.30 ; 36.69 ; 33.86 
2023-12-01; 46.88 ; 35.63 ; 33.83 
