Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4007","Amoníaco anhidro (para aplicación directa)","2014","2014","toneladas","173.81","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4007","Amoníaco anhidro (para aplicación directa)","2015","2015","toneladas","152.76","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4007","Amoníaco anhidro (para aplicación directa)","2016","2016","toneladas","528.3","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4007","Amoníaco anhidro (para aplicación directa)","2017","2017","toneladas","416.7","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4007","Amoníaco anhidro (para aplicación directa)","2018","2018","toneladas","573.8","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4007","Amoníaco anhidro (para aplicación directa)","2019","2019","toneladas","524.2","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2002","2002","toneladas","83772","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2003","2003","toneladas","70631","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2004","2004","toneladas","146122","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2005","2005","toneladas","54218","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2006","2006","toneladas","135625","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2009","2009","toneladas","60320","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2010","2010","toneladas","149732.91","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2011","2011","toneladas","156249.01","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2014","2014","toneladas","160800.91","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2015","2015","toneladas","117338.51","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2016","2016","toneladas","140543.2","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2017","2017","toneladas","152376.7","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2018","2018","toneladas","151378.3","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2019","2019","toneladas","118449.1","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4027","Compuestos PK","2002","2002","toneladas","346","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4027","Compuestos PK","2003","2003","toneladas","168","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4027","Compuestos PK","2004","2004","toneladas","276","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4027","Compuestos PK","2005","2005","toneladas","190","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4027","Compuestos PK","2008","2008","toneladas","109","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4027","Compuestos PK","2009","2009","toneladas","85","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4027","Compuestos PK","2010","2010","toneladas","143.27","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4027","Compuestos PK","2011","2011","toneladas","112.73","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4027","Compuestos PK","2016","2016","toneladas","631.2","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4027","Compuestos PK","2017","2017","toneladas","1538.6","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4027","Compuestos PK","2018","2018","toneladas","5724.5","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4027","Compuestos PK","2019","2019","toneladas","4652","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4030","Fertilizers n.e.c.","2014","2014","toneladas","20876.03","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4030","Fertilizers n.e.c.","2015","2015","toneladas","17618.91","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4030","Fertilizers n.e.c.","2016","2016","toneladas","21132.5","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4030","Fertilizers n.e.c.","2017","2017","toneladas","26598.7","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4030","Fertilizers n.e.c.","2018","2018","toneladas","25751.4","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4030","Fertilizers n.e.c.","2019","2019","toneladas","28631.6","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4022","Fosfato diamónico (DAP)","2002","2002","toneladas","66056","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4022","Fosfato diamónico (DAP)","2003","2003","toneladas","54684","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4022","Fosfato diamónico (DAP)","2004","2004","toneladas","79149","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4022","Fosfato diamónico (DAP)","2005","2005","toneladas","69584","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4022","Fosfato diamónico (DAP)","2006","2006","toneladas","67207","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4022","Fosfato diamónico (DAP)","2008","2008","toneladas","44555","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4022","Fosfato diamónico (DAP)","2009","2009","toneladas","36424","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4022","Fosfato diamónico (DAP)","2010","2010","toneladas","40327.28","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4022","Fosfato diamónico (DAP)","2011","2011","toneladas","42103.41","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4022","Fosfato diamónico (DAP)","2014","2014","toneladas","73954.57","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4022","Fosfato diamónico (DAP)","2015","2015","toneladas","73656.02","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4022","Fosfato diamónico (DAP)","2016","2016","toneladas","73024.6","A","Cifra oficial"
