,inflación_mensual,fob_urea_kg_d1,crude_oil_brent_usd_per_bbl_d1,natural_gas_europe_usd_per_mmbtu_d1,ipc_diesel_d1,precipitación_media_mm_d1,temp_media_Celsius_d1,fosfato diamónico 18-46-0_d1,muriato de potasio 0-0-60_d1,fob_otros_prod_agrícolas_exportados_usd_d2,urea 46-0-0_d2
2013-01-31,0.00502823,-0.00019847328244274826,-0.2680582928522136,-0.002773603765954178,0.526194557339336,-0.27948238000627396,-0.005945832897626252,0.00046528928762225107,9.904706881466274e-05,27.75745961538463,-0.00038625342377785095
2013-02-28,0.00184694,0.035629999999999995,3.5458636363599965,-0.09999999999999964,0.0,111.86000000000001,-0.22999999999999687,0.001286821377271652,0.022995999005431034,27.75745961538463,-0.00038625342377785095
2013-03-31,0.00438385,-0.020000000000000018,-7.279499999999999,0.09999999999999964,0.0,3.1100000000000136,0.46999999999999886,-0.013467494978453343,-0.0187138753676922,1308.6813809999985,-0.05171362649959732
2013-04-30,0.00178991480129,-0.02999999999999997,-6.364545454539993,1.0100000000000016,0.0,-77.0,-0.1700000000000017,-0.003269272890160213,-0.0007886754239484484,-1691.278871999999,0.035081278455943776
2013-05-31,-0.00217898312721,-0.007500000000000007,0.15150197628000228,-0.5900000000000016,0.0,-21.430000000000007,-0.5499999999999972,-0.009563632744770345,-0.010240377124827393,417.48531099999946,-0.011692083750707516
2013-06-30,-0.00144789862262,-0.028749999999999998,0.08304347825999514,-0.3699999999999992,0.0,-104.34000000000003,-0.7300000000000004,0.01625674292269985,-0.017746734799282682,4141.923960000001,-0.009268600353375733
2013-07-31,-0.00018660335055,-0.016880000000000006,4.606086956520002,-0.3200000000000003,0.0,17.370000000000005,-0.6799999999999997,-0.02363036869976365,-0.014184034131546897,-8070.2729100000015,-0.007712566268484156
2013-08-31,0.0017359094249,-0.0018699999999999828,3.248458498030004,0.040000000000000924,0.0,-26.73999999999998,0.23999999999999844,0.00572175653952689,0.011022659633976417,5258.0886900000005,0.03620931475527467
2013-09-30,0.00567880702632,-0.009630000000000027,0.656883116879996,-0.39000000000000057,0.0,-28.930000000000007,0.6400000000000006,0.008140807244812143,-0.0046317237496786845,1739.4256000000005,-0.011741729700023629
2013-10-31,0.00408272123409,-0.0041200000000000125,-2.1427329192599984,0.11999999999999922,0.0,42.22999999999999,0.3000000000000007,-0.025472012901831542,-0.00724015663603772,-3430.6703800000005,-0.01601616904462433
2013-11-30,0.00394188623561,0.008120000000000016,-1.4025051759799965,0.05000000000000071,0.0,8.490000000000009,0.2099999999999973,-0.011128328719474556,-0.004209748050764461,628.7452800000001,0.008619844313030978
2013-12-31,0.00203496635956,0.0,2.5978095238099996,0.13000000000000078,0.0,1.3199999999999932,0.40000000000000213,-0.004729725551721464,-0.01991185662310413,27.687589999999545,-0.0054112679508164785
2014-01-31,0.00721709623224,0.025000000000000022,-3.254000000000005,0.03999999999999915,0.7299270000000035,157.73000000000002,-0.010000000000001563,-0.036487689667937695,-0.004114995257135656,-1053.989889999999,0.022963756378043154
2014-02-28,0.00109903582645,0.023129999999999984,1.3900000000000006,-0.28999999999999915,0.0,-64.23000000000002,0.010000000000001563,0.021643959994758433,0.007313083113520413,-493.78704000000107,0.048304065627576165
2014-03-31,0.00696282099423,-0.025629999999999986,-1.4099999999999966,-0.41999999999999993,0.0,56.45999999999998,0.0,0.014306556487926447,0.0041444907478257464,2161.9321100000006,-0.05404512993131927
2014-04-30,0.0029547590082,-0.0675,0.39000000000000057,-0.15000000000000036,0.0,-22.839999999999975,-0.28000000000000114,-0.004773619300177834,-0.002344999258097724,-908.6053700000002,-0.020159280515410605
2014-05-31,-0.00041124006945,0.0050000000000000044,1.8900000000000006,-0.5300000000000011,0.0,11.110000000000014,0.0,-0.01493791399083677,-0.01332856727871179,1403.9318400000002,0.000832623957275902
2014-06-30,0.00104061164432,0.023749999999999993,2.1899999999999977,-0.4299999999999997,0.0,-97.04000000000002,-0.19000000000000128,-0.026638715734543128,-0.013626833453682208,-2142.2284090000003,-0.00717122201183229
2014-07-31,0.00403367510875,0.016249999999999987,-4.890000000000001,-0.5,0.0,-18.359999999999985,-0.5,0.0032924764668765816,-0.002184150479467517,1838.3814890000003,0.007608646807556907
2014-08-31,0.00209425743043,0.006250000000000033,-5.060000000000002,-0.129999999999999,0.0,-30.140000000000015,-0.1599999999999966,-0.01901626124873501,-0.003663070650586242,190.14288899999974,-0.007465325879687956
2014-09-30,0.00612724231634,0.006249999999999978,-4.579999999999998,0.09999999999999964,0.0,-34.06999999999999,0.3299999999999983,-0.009032602598632367,0.004114421052115014,-1343.2592879999993,0.018957907281793362
2014-10-31,0.00202797923177,0.0,-10.070000000000007,0.5299999999999994,0.0,59.5,0.3299999999999983,-0.010453377816646237,-0.008503086282624417,4189.362458,-0.012569877369804416
2014-11-30,0.00181231082894,0.0,-8.829999999999998,-0.8699999999999992,0.0,1.6800000000000068,0.16000000000000014,0.009043544193096609,-0.0026055117893074575,-5998.516139,0.01590679331545386
2014-12-31,0.00114753345983,-0.00936999999999999,-16.11,0.9299999999999997,0.0,8.949999999999989,0.41000000000000014,0.015305871210873123,-0.0052150787285312195,231.32150999999976,-0.004594404265397367
2015-01-31,0.00590365500828,-0.0031300000000000217,-14.259999999999998,-0.5800000000000001,-1.973711586129454,72.63999999999999,-0.3200000000000003,0.0014921678258755788,-0.00231215295883902,558.1994500000001,-0.005486459623008866
